Marca;Marcas_csv;Precio_csv;Marcas_api;Precio_api
ABARTH;89;19929;0;0
ALFA;6;15699;0;0
ALFA ROMEO;126;25890;0;0
ALPINE;1;66000;0;0
ASTON MARTIN;7;128398;0;0
AUDI;1687;29190;10;23107
BENTLEY;12;219413;0;0
BMW;1884;29498;17;29130
CHEVROLET;40;15506;0;0
CITROEN;1394;14744;6;19600
CUPRA;16;37135;0;0
DACIA;265;10230;1;16752
DFSK;8;24421;0;0
DR AUTOMOBILES;1;16990;0;0
DS;122;25473;3;26032
FERRARI;19;211073;0;0
FIAT;948;11401;11;15940
FORD;1586;15529;11;17991
HONDA;180;21569;0;0
HYUNDAI;818;17035;5;20592
INFINITI;56;21104;0;0
INVICTA;2;21495;0;0
ISUZU;5;34541;0;0
IVECO;14;19756;0;0
JAGUAR;183;38113;0;0
JEEP;219;27780;1;22032
KIA;874;17479;6;20128
LAMBORGHINI;6;301166;0;0
LANCIA;13;9986;0;0
LAND;12;29707;0;0
LAND-ROVER;330;45933;0;0
LEXUS;184;30213;1;28752
MAHINDRA;10;17249;0;0
MASERATI;46;64379;0;0
MAXUS;1;20290;0;0
MAZDA;281;19659;3;28528
MERCEDES-BENZ;2115;36734;16;28554
MG;1;18499;0;0
MINI;459;20058;2;20592
MITSUBISHI;140;19190;2;23952
NISSAN;1048;17484;16;20064
OPEL;1496;14623;3;14768
PEUGEOT;1812;17551;25;20872
PIAGGIO;1;10900;0;0
PORSCHE;256;86780;0;0
RENAULT;1465;14805;6;19120
SEAT;1307;16389;9;19642
SKODA;371;16607;0;0
SMART;134;12929;0;0
SSANGYONG;83;17625;0;0
SUBARU;55;27972;0;0
SUZUKI;128;20525;0;0
TATA;2;4945;0;0
TESLA;15;58625;0;0
TOYOTA;990;16820;9;22074
VOLKSWAGEN;1977;19962;14;23115
VOLVO;434;32161;0;0
